M,loss_db_per_arm,end_to_end_loss_db_midpoint,optimized_spacing_d,povm_scale_s,one_minus_s,s_less_than_one
16,1.9,3.8,0.289364454461,0.9999935726282803,6.427371719741615e-06,1
16,2.0,4.0,0.283213997521,0.9999980110757084,1.988924291596028e-06,1
16,2.5,5.0,0.258552132365,0.9999902569597424,9.743040257581548e-06,1
16,3.0,6.0,0.241534933338,0.999999260781905,7.392180949583604e-07,1
16,3.5,7.0,0.229010465813,0.9999964818056749,3.518194325091706e-06,1
16,4.0,8.0,0.219133348704,0.9999990528833038,9.47116696181638e-07,1
16,4.5,9.0,0.21148028004,0.9999996878583719,3.1214162810044854e-07,1
16,5.0,10.0,0.205385439142,0.9999986642887755,1.3357112245149239e-06,1
16,5.5,11.0,0.200414033915,0.9999969458620047,3.0541379952842007e-06,1
16,6.0,12.0,0.196139074038,0.9999961371924789,3.862807521071154e-06,1
16,6.5,13.0,0.192589366698,0.9999986575345813,1.3424654187188523e-06,1
16,7.0,14.0,0.189548575242,0.9999967916203509,3.2083796490667282e-06,1
16,7.5,15.0,0.187092875399,0.9999977972648729,2.202735127077027e-06,1
16,8.0,16.0,0.184843617352,0.9999975875232541,2.4124767459277052e-06,1
16,8.5,17.0,0.182983792345,0.9999971832212853,2.8167787147204137e-06,1
16,9.0,18.0,0.181303720954,0.9999943201446223,5.6798553776937766e-06,1
16,9.5,19.0,0.179950862278,0.9999932064791417,6.793520858305868e-06,1
16,10.0,20.0,0.178664482539,0.9999913644259649,8.63557403507631e-06,1
